# stan_version_major = 2
# stan_version_minor = 1
# stan_version_patch = 0
# model = calibration_vary_psi_EPs_model
# method = sample (Default)
#   sample
#     num_samples = 500
#     num_warmup = 250
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 0 (Default)
# data
#   file = ../r/dump/cal_data_12taxa_mid_comp_v0.1.dump
# init = 2 (Default)
# random
#   seed = 42
# output
#   file = ../output/12taxa_mid_comp_vary_psi_EPs_v0.3.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_divergent__,phi.1,phi.2,phi.3,phi.4,phi.5,phi.6,phi.7,phi.8,phi.9,phi.10,phi.11,phi.12,gamma,log_psi.1,log_psi.2,log_psi.3,log_psi.4,log_psi.5,log_psi.6,log_psi.7,log_psi.8,log_psi.9,log_psi.10,log_psi.11,log_psi.12,mu_psi,sigma_psi,psi.1,psi.2,psi.3,psi.4,psi.5,psi.6,psi.7,psi.8,psi.9,psi.10,psi.11,psi.12
-8167.87,1,0.0625,0,0,98.8157,203.288,245.961,63.0822,122.17,35.8405,114.088,115.534,123.166,240.516,164.735,37.3133,0.129692,-0.607535,-1.86256,-0.163112,-0.222925,-0.921998,-0.714509,-0.00809422,-0.745936,-0.654479,-1.46401,-1.22164,0.0896987,1.27021,0.841405,0.544692,0.155274,0.849496,0.800175,0.397724,0.489432,0.991938,0.47429,0.519713,0.231306,0.294748,1.09384
-8167.87,0,14.3855,-1,1,98.8157,203.288,245.961,63.0822,122.17,35.8405,114.088,115.534,123.166,240.516,164.735,37.3133,0.129692,-0.607535,-1.86256,-0.163112,-0.222925,-0.921998,-0.714509,-0.00809422,-0.745936,-0.654479,-1.46401,-1.22164,0.0896987,1.27021,0.841405,0.544692,0.155274,0.849496,0.800175,0.397724,0.489432,0.991938,0.47429,0.519713,0.231306,0.294748,1.09384
-8167.87,0,2.43117,-1,1,98.8157,203.288,245.961,63.0822,122.17,35.8405,114.088,115.534,123.166,240.516,164.735,37.3133,0.129692,-0.607535,-1.86256,-0.163112,-0.222925,-0.921998,-0.714509,-0.00809422,-0.745936,-0.654479,-1.46401,-1.22164,0.0896987,1.27021,0.841405,0.544692,0.155274,0.849496,0.800175,0.397724,0.489432,0.991938,0.47429,0.519713,0.231306,0.294748,1.09384
-8167.87,0,0.239791,-1,1,98.8157,203.288,245.961,63.0822,122.17,35.8405,114.088,115.534,123.166,240.516,164.735,37.3133,0.129692,-0.607535,-1.86256,-0.163112,-0.222925,-0.921998,-0.714509,-0.00809422,-0.745936,-0.654479,-1.46401,-1.22164,0.0896987,1.27021,0.841405,0.544692,0.155274,0.849496,0.800175,0.397724,0.489432,0.991938,0.47429,0.519713,0.231306,0.294748,1.09384
-7993.6,1,0.0186273,1,0,98.214,202.665,246.543,63.8629,119.006,36.1908,107.488,109.085,124.028,239.857,161.934,37.6129,0.140096,-0.595991,-1.8657,-0.171138,-0.216362,-0.936667,-0.736215,-0.0209572,-0.744343,-0.682586,-1.51065,-1.23253,0.0744281,1.27554,0.861478,0.551016,0.154788,0.842705,0.805443,0.391932,0.478923,0.979261,0.475046,0.505308,0.220766,0.291553,1.07727
-7031.23,1,0.0257257,5,0,80.8824,159.062,267.725,74.7617,42.8542,23.0316,56.5132,12.7194,86.9441,246.275,81.024,10.2996,0.360878,-0.747351,-1.93362,-0.246115,-0.274356,-1.07831,-0.748457,-0.0935415,-0.565988,-0.538501,-1.94015,-0.952051,0.102212,1.27198,1.27923,0.47362,0.144624,0.781832,0.760061,0.340169,0.473096,0.9107,0.567799,0.583622,0.143682,0.385949,1.10762
-6820.04,1,0.0404064,1,0,75.6517,152.404,268.403,70.7046,43.6768,23.5814,62.9342,12.8596,91.1684,241.023,84.0182,10.9596,0.277901,-0.71908,-1.93235,-0.273327,-0.278959,-1.11892,-0.705291,-0.109431,-0.55768,-0.521397,-1.9375,-0.995907,0.111609,1.26532,1.35564,0.4872,0.144807,0.760844,0.756571,0.326633,0.493965,0.896344,0.572536,0.59369,0.144063,0.369388,1.11808
-6637,1,0.0687243,1,0,71.1791,76.5503,266.902,60.2975,49.2921,24.3119,56.8029,21.1524,114.499,187.052,92.8087,12.0391,0.222457,-0.698159,-1.8328,-0.411105,-0.27416,-1.47454,-0.65506,-0.25184,-0.623563,-0.644604,-1.91659,-1.02061,0.16723,1.23161,1.6061,0.497501,0.159964,0.662917,0.760211,0.228884,0.519411,0.777369,0.536031,0.52487,0.147108,0.360376,1.18203
-6637,0,0.122801,-1,1,71.1791,76.5503,266.902,60.2975,49.2921,24.3119,56.8029,21.1524,114.499,187.052,92.8087,12.0391,0.222457,-0.698159,-1.8328,-0.411105,-0.27416,-1.47454,-0.65506,-0.25184,-0.623563,-0.644604,-1.91659,-1.02061,0.16723,1.23161,1.6061,0.497501,0.159964,0.662917,0.760211,0.228884,0.519411,0.777369,0.536031,0.52487,0.147108,0.360376,1.18203
-6589.15,1,0.00961161,3,0,65.1909,71.8398,266.059,60.257,46.071,25.5152,61.3355,21.4899,101.094,193.948,98.8391,12.1966,0.225015,-0.651714,-1.79578,-0.396992,-0.293351,-1.51979,-0.661304,-0.261893,-0.690601,-0.648716,-1.91157,-1.00899,0.152211,1.24882,1.63503,0.521152,0.165999,0.672339,0.74576,0.218757,0.516178,0.769593,0.501275,0.522716,0.147848,0.364588,1.16441
