# stan_version_major = 2
# stan_version_minor = 1
# stan_version_patch = 0
# model = calibration_bigC_model
# method = sample (Default)
#   sample
#     num_samples = 10000
#     num_warmup = 250
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 0 (Default)
# data
#   file = ../r/dump/cal_data_12taxa_mid_comp_v0.1.dump
# init = 2 (Default)
# random
#   seed = 121
# output
#   file = ../output/12taxa_mid_comp_v0.1_bigC_c3.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_divergent__,phi.1,phi.2,phi.3,phi.4,phi.5,phi.6,phi.7,phi.8,phi.9,phi.10,phi.11,phi.12,psi,gamma
-11077.6,1,0.0625,0,0,226.195,224.59,115.441,107.23,55.8697,84.9396,60.8968,206.457,229.94,269.807,153.829,135.432,1.66178,0.165502
-11077.6,0,14.3855,-1,1,226.195,224.59,115.441,107.23,55.8697,84.9396,60.8968,206.457,229.94,269.807,153.829,135.432,1.66178,0.165502
-11077.6,0,2.43117,-1,1,226.195,224.59,115.441,107.23,55.8697,84.9396,60.8968,206.457,229.94,269.807,153.829,135.432,1.66178,0.165502
-11077.6,0,0.239791,-1,1,226.195,224.59,115.441,107.23,55.8697,84.9396,60.8968,206.457,229.94,269.807,153.829,135.432,1.66178,0.165502
-10021.6,1,0.0186273,1,0,218.942,218.889,138.067,106.7,56.1235,69.4633,71.4323,181.752,216.413,272.683,150.887,102.014,1.67931,0.20777
-7731.64,1,0.0257257,2,0,186.533,197.227,220.04,91.5536,64.5501,39.1507,91.3999,79.1769,134.228,278.148,146.24,26.6979,1.67054,0.34136
-7026.28,1,0.0404064,3,0,120.751,0.0545657,216.006,60.1627,57.0554,28.8654,59.2034,15.6975,113.173,263.737,136.627,13.4373,1.25931,0.234599
-6926.05,0.666667,0.0687243,1,0,92.8648,0.0547641,222.062,60.3128,56.7232,25.669,70.0099,19.3535,83.8845,261.369,117.347,12.3177,1.2837,0.278807
-6830.41,1,0.0430774,1,0,66.2719,0.0617285,213.007,56.7132,43.4532,23.4996,50.4983,23.2916,84.6621,248.757,81.9613,10.732,1.23829,0.236821
-6830.41,1.11596e-10,0.0789043,0,0,66.2719,0.0617285,213.007,56.7132,43.4532,23.4996,50.4983,23.2916,84.6621,248.757,81.9613,10.732,1.23829,0.236821
-6816.11,0.997561,0.00624445,5,0,64.7034,0.0754527,211.537,59.9553,44.4614,22.9831,58.2835,16.3404,76.47,237.936,83.4781,10.6961,1.30803,0.267342
-6753.74,0.999928,0.0117529,3,0,60.0757,0.103396,191.574,50.6835,43.5528,19.2291,47.6665,18.7562,73.0711,203.228,73.0625,9.79436,1.36842,0.2462
-6729.91,1,0.0225112,2,0,59.3498,0.11591,170.925,47.0181,40.4629,19.1745,45.1242,17.2059,67.3302,198.975,68.3888,9.62838,1.31453,0.264407
-6707.64,0.91064,0.043294,1,0,59.5453,0.138504,170.427,47.3595,34.3953,20.5444,41.7008,17.2871,66.487,179.652,64.8213,7.3293,1.23278,0.248878
-6680,0.961467,0.0629836,1,0,53.8871,0.165933,142.351,45.6189,31.9987,19.9547,40.1465,17.7387,58.7568,165.046,69.6501,7.57032,1.13965,0.266006
-6680,0.000600563,0.107245,0,0,53.8871,0.165933,142.351,45.6189,31.9987,19.9547,40.1465,17.7387,58.7568,165.046,69.6501,7.57032,1.13965,0.266006
-6644.44,0.9982,0.0094578,4,0,48.0843,0.257363,141.47,40.8137,34.305,16.7074,34.7064,15.8117,55.8847,148.064,56.6503,8.52472,0.995593,0.257217
-6638.14,0.961131,0.0182416,3,0,45.178,0.262905,133.561,36.763,32.7743,16.3668,37.4699,14.2043,53.8726,149.099,59.7646,9.0806,0.910551,0.270155
-6628.95,0.880307,0.0312161,2,0,49.5553,0.271794,132.829,38.4296,33.1476,15.4774,36.8293,15.0082,55.348,142.39,62.7983,9.16302,0.835083,0.267163
-6628.95,0.392205,0.0416229,2,0,49.5553,0.271794,132.829,38.4296,33.1476,15.4774,36.8293,15.0082,55.348,142.39,62.7983,9.16302,0.835083,0.267163
