# stan_version_major = 2
# stan_version_minor = 1
# stan_version_patch = 0
# model = calibration_vary_psi_bigC_model
# method = sample (Default)
#   sample
#     num_samples = 3451 
#     num_warmup = 250
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 0 (Default)
# data
#   file = ../r/dump/cal_data_12taxa_mid_comp_v0.1.dump
# init = 2 (Default)
# random
#   seed = 121
# output
#   file = ../output/12taxa_mid_comp_v0.1_vary_psi_bigC_c1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_divergent__,phi.1,phi.2,phi.3,phi.4,phi.5,phi.6,phi.7,phi.8,phi.9,phi.10,phi.11,phi.12,psi.1,psi.2,psi.3,psi.4,psi.5,psi.6,psi.7,psi.8,psi.9,psi.10,psi.11,psi.12,gamma
-9701.84,0.636364,0.0625,2,1,20.7421,24.7188,299.989,27.7603,39.6886,0.0849274,19.3954,0.185635,34.0636,299.998,38.7939,0.011248,1.40065,0.65959,1.71626,0.663943,0.620596,1.32487,0.183368,0.986157,1.73067,1.60465,1.58508,1.32775,0.251372
-9701.84,0,7.42657,-1,1,20.7421,24.7188,299.989,27.7603,39.6886,0.0849274,19.3954,0.185635,34.0636,299.998,38.7939,0.011248,1.40065,0.65959,1.71626,0.663943,0.620596,1.32487,0.183368,0.986157,1.73067,1.60465,1.58508,1.32775,0.251372
-9701.84,0,1.03177,-1,1,20.7421,24.7188,299.989,27.7603,39.6886,0.0849274,19.3954,0.185635,34.0636,299.998,38.7939,0.011248,1.40065,0.65959,1.71626,0.663943,0.620596,1.32487,0.183368,0.986157,1.73067,1.60465,1.58508,1.32775,0.251372
-9701.84,0,0.0909937,0,1,20.7421,24.7188,299.989,27.7603,39.6886,0.0849274,19.3954,0.185635,34.0636,299.998,38.7939,0.011248,1.40065,0.65959,1.71626,0.663943,0.620596,1.32487,0.183368,0.986157,1.73067,1.60465,1.58508,1.32775,0.251372
-9429.57,1,0.00659074,2,0,21.819,24.1227,299.99,27.4361,39.6992,0.090439,23.8681,0.197075,40.7626,299.998,42.4628,0.0112362,1.3915,0.672547,1.72176,0.657582,0.582007,1.32584,0.185504,0.968131,1.73895,1.60987,1.57623,1.32977,0.224228
-9354.34,1,0.00870013,1,0,21.8361,24.13,299.99,28.9349,39.2902,0.093753,25.3497,0.200179,42.6359,299.998,43.8094,0.0112192,1.38296,0.662212,1.72646,0.661303,0.582981,1.31636,0.186474,0.97211,1.73557,1.60862,1.57865,1.32567,0.219454
-9221.68,1,0.013271,1,0,22.3759,24.1612,299.989,28.2057,38.9779,0.094848,30.9759,0.212799,44.2369,299.998,43.0556,0.0112155,1.38437,0.668872,1.72938,0.676905,0.580639,1.31141,0.186446,0.96609,1.73982,1.6103,1.56185,1.32294,0.208498
-9143.37,1,0.0221587,1,0,22.5334,24.4042,299.989,29.1322,37.3462,0.0970003,34.0579,0.218041,46.3163,299.998,43.0671,0.0112286,1.39391,0.67142,1.72804,0.681685,0.584701,1.30522,0.187415,0.973411,1.73737,1.6157,1.56687,1.32732,0.198335
-8947.5,1,0.0391643,1,0,24.3002,23.6696,299.989,33.0534,36.915,0.108359,41.6136,0.236754,56.0414,299.998,42.3052,0.0112577,1.39747,0.656607,1.73293,0.678487,0.55391,1.31073,0.192432,1.00636,1.73307,1.64756,1.55492,1.33111,0.181363
-8662.61,0.666667,0.0717036,1,0,32.6985,23.5709,299.99,41.0909,39.3864,0.156153,62.5637,0.291556,96.5148,299.998,49.9996,0.0112772,1.38449,0.630938,1.73265,0.705351,0.480151,1.31383,0.193345,0.965923,1.7636,1.67459,1.562,1.38553,0.160776
-8562.31,1,0.0467143,2,0,36.6306,25.2172,299.989,45.7956,41.1588,0.186863,54.012,0.315708,96.3675,299.999,56.5732,0.0112702,1.40115,0.638226,1.74349,0.67999,0.478292,1.31002,0.184588,0.968487,1.74935,1.67326,1.57098,1.37532,0.175191
-8326.73,0.333333,0.0884004,0,1,54.235,22.1512,299.99,57.4743,42.068,0.343755,58.758,0.50602,86.7074,299.998,70.6514,0.0114643,1.39409,0.66691,1.75434,0.704606,0.433416,1.33042,0.183357,1.01213,1.732,1.67265,1.51632,1.36769,0.196729
-8162.83,0.898482,0.0206247,4,0,62.126,19.7249,299.991,59.2577,41.6198,0.548055,55.9833,0.849535,101.745,299.999,74.7298,0.0117338,1.37407,0.70932,1.74198,0.704044,0.430055,1.39384,0.186912,1.0711,1.70434,1.67026,1.53138,1.3454,0.183732
-8083.77,1,0.0288639,1,0,60.9957,18.8851,299.99,64.4854,43.7816,0.695231,58.5969,1.06828,98.5106,299.999,74.5527,0.0117847,1.38007,0.774076,1.74681,0.686552,0.408719,1.36291,0.179848,1.09886,1.71014,1.64054,1.57033,1.30638,0.194652
-7261.75,0.726102,0.055607,2,0,81.0927,24.9853,299.993,63.3803,43.5382,37.3208,61.7564,22.4041,103.382,299.999,94.4897,0.0130411,1.23716,0.770103,1.78092,0.778999,0.273302,1.25813,0.16807,1.11248,1.72164,1.53032,1.56576,1.16715,0.202818
